"Mois";"CLiAff France";"CLiAff Industrie";"CLiAff Services";"CLiAff Batiment";"CLiAff Commerce de detail";"CLiAff Commerce de gros";"Climat Emploi";"Retournement France";"Retournement Commerce de gros";"Retournement Batiment";"Retournement Industrie";"Retournement Services"
janv. 1980;107,9;108,1;;102,4;;107,8;;;-0,3;;0,4;
févr. 1980;107,3;107,2;;102,5;;113,8;;;;;0,5;
mars 1980;108,9;106,5;;102,5;;119,8;;;0,5;;0,5;
avr. 1980;106,7;103,6;;102,5;;115,0;;;;;-0,1;
mai 1980;103,6;100,5;;101,7;;110,2;;;-0,4;;-0,9;
juin 1980;101,5;98,5;;100,9;;104,0;;;;;-0,8;
juil. 1980;95,6;93,4;;100,1;;97,7;;;-0,8;;-1,0;
aout 1980;93,7;92,0;;99,6;;99,6;;;;;-1,0;
sept. 1980;94,7;89,9;;99,2;;101,6;;;0,6;;-1,0;
oct. 1980;92,5;88,5;;98,7;;103,0;;;;;-0,8;
nov. 1980;93,1;87,2;;97,7;;104,4;;;-0,5;;-0,7;
déc. 1980;90,1;84,9;;96,8;;99,1;;;;;-0,8;
janv. 1981;89,2;86,9;;95,8;;93,9;;;0,3;;0,0;
févr. 1981;88,0;85,5;;95,9;;92,3;;;;;-0,6;
mars 1981;87,1;85,2;;96,0;;90,8;;;-0,6;;-0,2;
avr. 1981;87,9;86,1;;96,0;;91,4;;;;;0,1;
mai 1981;89,9;87,0;;95,6;;92,1;;;0,2;;-0,1;
juin 1981;89,3;87,3;;95,2;;93,6;;;;;0,1;
juil. 1981;90,6;88,8;;94,8;;95,1;;;0,1;;0,4;
aout 1981;92,1;90,8;;94,2;;96,3;;;;;0,8;
sept. 1981;93,2;92,2;;93,6;;97,6;;;-0,1;;0,9;
oct. 1981;92,6;91,9;;93,0;;96,9;;;;;0,7;
nov. 1981;94,8;95,1;;92,1;;96,3;;;0,4;;0,9;
déc. 1981;95,5;94,7;;91,2;;102,9;;;;;0,7;
janv. 1982;99,4;95,2;;90,3;;109,5;;;0,9;;0,5;
févr. 1982;99,5;96,6;;89,3;;104,0;;;;;0,5;
mars 1982;95,7;95,2;;88,3;;98,5;;;-0,5;;0,4;
avr. 1982;95,4;96,3;;87,2;;102,3;;;;;0,4;
mai 1982;96,7;95,9;;87,2;;106,0;;;0,1;;0,5;
juin 1982;96,1;95,6;;87,2;;102,0;;;;;0,4;
juil. 1982;92,4;94,7;;87,2;;98,0;;;-0,9;;-0,2;
aout 1982;90,9;92,6;;87,3;;91,4;;;;;-0,9;
sept. 1982;86,9;89,9;;87,3;;84,7;;;-0,9;;-1,0;
oct. 1982;87,0;89,7;;87,4;;90,0;;;;;-0,7;
nov. 1982;90,0;90,1;;87,6;;95,2;;;0,8;;-0,5;
déc. 1982;91,5;92,4;;87,8;;94,7;;;;;0,5;
janv. 1983;90,9;92,6;;88,0;;94,2;;;0,1;;0,2;
févr. 1983;90,5;91,9;;87,6;;92,8;;;;;-0,4;
mars 1983;90,0;91,9;;87,2;;91,4;;;0,0;;-0,3;
avr. 1983;87,2;89,6;;86,8;;87,4;;;;;-0,6;
mai 1983;84,4;88,4;;86,2;;83,4;;;-0,9;;-0,6;
juin 1983;84,5;88,1;;85,6;;83,2;;;;;-0,4;
juil. 1983;83,6;86,9;;85,0;;82,9;;;-0,5;;-0,7;
aout 1983;84,2;87,4;;84,9;;81,1;;;;;-0,5;
sept. 1983;83,2;87,2;;84,8;;79,3;;;-0,4;;-0,5;
